"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"geodetic Datum","geodeticDatum","","raw_datum","Datum","geodeticDatum","",""
"Latitude - processed","decimalLatitude.p","decimalLatitude","latitude","Latitude - processed","decimalLatitude.p","Latitude - processed","The decimal latitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value."
"Longitude - processed","decimalLongitude.p","decimalLongitude","longitude","Longitude - processed","decimalLongitude.p","Longitude - processed","The decimal longitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value."
"Coordinate Uncertainty in Metres - parsed","coordinateUncertaintyInMeters.p","coordinateUncertaintyInMeters","coordinate_uncertainty","Coordinate uncertainty (in metres)","coordinateUncertaintyInMeters.p","Coordinate Uncertainty in Metres - parsed",""
"Country - parsed","country.p","country","country","Country","country.p","Country - parsed","The country where the specimen was collected or observation was made"
"State - parsed","stateProvince.p","","state","State/Territory","stateProvince.p","State - parsed","The state or territory matching the supplied coordinates"
"Local Government Areas","cl959","","cl959","Local Government Areas","","",""
"Collector","recordedBy","recordedBy","collector","Collector","recordedBy","Collector","The collector for the occurrence."
"Year - parsed","year.p","year","year","Year","year.p","Year - parsed","Year of observation, specimen collection date."
"Month - parsed","month.p","month","month","Month","month.p","Month - parsed","Month of observation, specimen collection date."
"Event Date - parsed","eventDate.p","eventDate","occurrence_date","Date (by decade)","eventDate.p","Event Date - parsed","The ISO formatted date of observation, specimen collection date."
"Basis Of Record - original","basisOfRecord","basisOfRecord","raw_basis_of_record","Basis Of Record - original","basisOfRecord","Basis Of Record - original","The basis of record e.g. Specimen, Observation"
"Basis Of Record - processed","basisOfRecord.p","","basis_of_record","Record type","basisOfRecord.p","Basis Of Record - processed",""
"Sex","sex","sex","raw_sex","Sex","sex","Sex",""
"Outlier for layer","outlierForLayers.p","","outlier_layer","Outlier for layer","outlierForLayers.p","Outlier for layer",""
"Taxon identification issue","taxonomicIssue.p","","taxonomic_issue","Taxon identification issue","taxonomicIssue.p","Taxon identification issue",""
"Data Resource ID","dataResourceUid","preparations","data_resource_uid","Dataset","dataResourceUid","Data Resource ID","A list (concatenated and separated) of preparations and preservation methods for a specimen."
"Data Resource Name","dataResourceName.p","","data_resource","Dataset","dataResourceName.p","Data Resource Name",""
"Altitude value supplied in feet","altitudeInFeet","","","","","",""
"Altitude value non-numeric","altitudeNonNumeric","","","","","",""
"Occurrence status assumed to be present","assumedPresentOccurrenceStatus","","","","","",""
"Coordinates dont match supplied country","countryCoordinateMismatch","","","","","",""
"Country inferred from coordinates","countryInferredByCoordinates","","","","","",""
"First of the century","firstOfCentury","","","","","",""
"First of the month","firstOfMonth","","","","","",""
"First of the year","firstOfYear","","","","","",""
"Geodetic datum assumed WGS84","geodeticDatumAssumedWgs84","","","","","",""
"Habitat incorrect for species","habitatMismatch","","","","","",""
"Homonym issues with supplied name","homonymIssue","","","","","",""
"Identification date before occurrence date","idPreOccurrence","","","","","",""
"Incomplete collection date","incompleteCollectionDate","","","","","",""
"Invalid collection date","invalidCollectionDate","","","","","",""
"Name not in national checklists","nameNotInNationalChecklists","","","","","",""
"Name not recognised","nameNotRecognised","","","","","",""
"Latitude is negated","negatedLatitude","","","","","",""
"Longitude is negated","negatedLongitude","","","","","",""
"Supplied country not recognised","unknownCountry","","","","","",""
"Type status not recognised","unrecognisedTypeStatus","","","","","",""
